"Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Wilks","McCulloch","Glossbrenner","IPFPoints","Tested","Country","Federation","Date","MeetCountry","MeetState","MeetName","id","na_count"
"Dave White","M","SBD","Raw",23.5,"24-34","MR-O",82.5,"83",-207.5,215,-217.5,NA,215,-152.5,152.5,-157.5,NA,152.5,250,260,-265,NA,260,627.5,"1",420.37,420.37,405.82,630.33,"Yes","USA","USAPL","2017-01-28","USA","NY","Northeast Iron Beast Classic IV NYS Championships",748740,3
"Sergiy Afanasyev","M","SBD","Single-ply",22.5,"20-23","Open",98.65,"100",-250,250,-262.5,NA,250,175,-182.5,-182.5,NA,175,-270,-275,-275,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","","UkrainePF","1997-10-02","Ukraine","","Ukrainian Powerlifting Cup",37904,9
"Thomas Dowling","M","SBD","Raw",20.5,"20-23","MR-Jr",81.1,"83",165,-170,-170,NA,165,100,102.5,-105,NA,102.5,165,-170,-170,NA,165,432.5,"7",292.76,298.62,282.73,413.26,"Yes","","USAPL","2017-08-26","USA","TX","Texas Raw Championships",683563,3
"Leroy Scott","M","SBD","Wraps",31,"24-34","M-OR",97.5,"100",240,260,-272.5,NA,260,160,167.5,-175,NA,167.5,250,-272.5,-272.5,NA,250,677.5,"16",416.65,416.65,400.72,616.37,"","Australia","GPC-AUS","2017-07-21","Australia","VIC","Nationals",4451,3
"Anton Salin","M","SBD","Raw",30,"24-34","Open",65.7,"67.5",100,105,110,NA,110,80,85,-90,NA,85,150,165,170,NA,170,365,"2",287.67,287.67,279.29,397.66,"","","WRPF","2017-10-25","Russia","","Amateur World Championships",807408,3
"Sergey Gordeev","M","SBD","Single-ply",25.5,"24-34","Open",82.3,"82.5",305,-320,-330,NA,305,180,190,197.5,NA,197.5,302.5,320,330,NA,330,832.5,"1",558.51,558.51,539.22,684.63,"Yes","Russia","FPR","2002-10-02","Russia","","Russian Powerlifting Cup",951865,3
"Kelvin Wong","M","SBD","Raw",26.5,"24-34","Open",71,"74",170,-175,177.5,NA,177.5,-120,122.5,127.5,NA,127.5,195,205,220,NA,220,525,"1",389.22,389.22,377,573.34,"Yes","","NZPF","2015-11-07","New Zealand","AKL","Auckland 3-Lift Powerlifting Club Competition",928183,3
"Klaus-Dieter Jakob","M","SBD","Single-ply",46,"45-49","Masters 1",88.4,"90",240,255,265,NA,265,195,202.5,207.5,NA,207.5,240,260,-265,NA,260,732.5,"3",471.99,504.08,455.02,585.03,"Yes","Germany","EPF","2008-07-01","Luxembourg","","European Masters Powerlifting Championships",791138,3
"Hana Divišová","F","SBD","Single-ply",28.5,"24-34","Open",75.7,"82.5",160,-170,-170,NA,160,90,-95,-95,NA,90,182.5,-195,-200,NA,182.5,432.5,"8",408.79,408.79,359.46,541.94,"Yes","Czechia","EPF","1996-12-06","Italy","","Women's European Powerlifting Championships",775916,3
"John Ponzetti","M","SBD","Multi-ply",54,"50-54","M_MEM_3_WPC",89.4,"90",-290,290,300,NA,300,177.5,190,-192.5,NA,190,225,-247.5,247.5,NA,247.5,737.5,"1",472.43,568.81,455.34,584.94,"","USA","WPC","2018-11-05","USA","FL","World Championships",616427,3
"Jasmine Hayward","F","SBD","Wraps",30,"24-34","Open",133,"90+",120,130,140,NA,140,-65,75,-85,NA,75,150,165,175,NA,175,390,"1",306.17,306.17,258.19,507.36,"","","GPC-NZ","2015-08-15","New Zealand","BOP","BOP 3 Lift",810487,3
"Jennifer Addie","F","SBD","Wraps",21,"20-23","F-OR",74.5,"75",70,-85,90,NA,90,45,-50,-50,NA,45,130,140,145,-152.5,145,280,"2",267.3,272.65,235.19,449.29,"","","GPC-AUS","2014-08-04","Australia","WA","Perth Cup",6490,2
"Brodie Bottomley","M","SBD","Raw",18.5,"18-19","Open",78.75,"83",130,135,142.5,NA,142.5,90,-95,95,NA,95,160,170,180,NA,180,417.5,"8",287.91,299.42,278.21,404.79,"Yes","Australia","PA","2016-11-12","Australia","QLD","SSG Open",208117,3
"Martin Johnson","M","SBD","Wraps",26,"24-34","M-OR",99.8,"100",230,245,-255,NA,245,135,142.5,150,NA,150,230,245,255,NA,255,650,"11",395.9,395.9,380.51,579.4,"","","GPC-AUS","2017-04-07","Australia","QLD","QLD States",8041,3
"Chris Foy","M","SBD","Raw",33.5,"24-34","Open",64.75,"66",155,165,-175,NA,165,85,95,105,NA,105,210,220,-230,NA,220,490,"1",390.91,390.91,379.7,569.63,"Yes","","PA","2017-07-30","Australia","NSW","Top Lifter IV",212469,3
"Kate Anna","F","SBD","Wraps",36,"35-39","Open",96.3,"90+",-110,110,120,NA,120,-75,75,-82.5,NA,75,150,-155,-160,NA,150,345,"1",290.65,290.65,250.84,502.03,"","USA","WRPF","2016-11-17","Russia","","Amateur World Championships",797270,3
"Dmitriy Shelestunov","M","SBD","Wraps",18,"18-19","",80.3,"82.5",140,155,-160,NA,155,85,90,97.5,NA,97.5,150,-160,-165,NA,150,402.5,"3",274.14,290.59,264.8,381.54,"","","NAP","2012-11-17","Russia","","Privolzhsky Championships",535403,3
"Daniela Ricail","F","SBD","Wraps",24,"24-34","Open",74.5,"75",100,120,135,NA,135,70,72.5,75,NA,75,120,140,150,NA,150,360,"1",343.67,343.67,302.39,578.33,"","Argentina","AAP","2016-08-12","Argentina","","Campeonato Argentino",941698,3
"Igor Zhuk #1","M","SBD","Multi-ply",24,"24-34","O",82.4,"82.5",240,-260,260,NA,260,120,-165,165,NA,165,180,215,-220,NA,215,640,"2",429.05,429.05,414.22,539.65,"Yes","Ukraine","WPC-UKR","2013-10-05","Ukraine","","Ukrainian Cup",639562,3
"Vladimir Koval","M","SBD","Wraps",31.5,"24-34","O",66.5,"67.5",115,120,125,NA,125,90,100,105,NA,105,160,175,-190,NA,175,405,"2",316.05,316.05,306.71,446.04,"","","WPC-UKR","2012-03-17","Ukraine","","Ukrainian Championships",641851,3
"David Derry Jr","M","SBD","Raw",20.5,"20-23","MR-Jr",102.5,"105",200,220,230,NA,230,142.5,150,152.5,NA,152.5,265,282.5,285,NA,285,667.5,"1",402.37,410.42,386.41,587.54,"Yes","","USAPL","2016-10-02","USA","NY","New York State Championships",718838,3
"Juliana Nailen","F","SBD","Raw",27,"24-34","F_OR_APF",73.8,"75",87.5,92.5,95,NA,95,55,60,-62.5,NA,60,110,127.5,-137.5,NA,127.5,282.5,"2",271.32,271.32,238.8,454.99,"","","APF","2019-03-30","USA","IL","IL State Meet",627265,3
"Anastasiia Minaeva","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",83,"84",180,192.5,202.5,NA,202.5,107.5,112.5,117.5,NA,117.5,150,-160,160,NA,160,480,"1",430.64,456.48,376.8,570.16,"Yes","Russia","IPF","2016-09-03","Poland","","World Sub-Juniors & Juniors Powerlifting Championships",1039148,3
"Horst Meister","M","SBD","Raw",58.5,"55-59","Masters 2",90.1,"93",170,180,190,NA,190,155,165,-167.5,NA,165,215,225,235,NA,235,590,"2",376.44,485.98,362.76,553.53,"Yes","Germany","BVDK","2014-09-19","Germany","BB","DM RAW KDK",13492,3
"Daniel Chavarria","M","SBD","Raw",29.5,"24-34","MR-O",80.2,"83",210,220,227.5,NA,227.5,120,130,-132.5,NA,130,215,222.5,235,NA,235,592.5,"1",403.86,403.86,390.11,602.21,"Yes","","USAPL","2017-01-21","USA","IA","Des Moines Metro Classic",739017,3
"Danijel Parac","M","SBD","Wraps",18,"18-19","T3",71.9,"75",180,-195,200,NA,200,90,100,105,NA,105,190,215,NA,NA,215,520,"1",381.92,404.83,369.8,561.65,"","Croatia","GPC","2013-05-20","Serbia","","European Championships",1230456,4
"Anna Syatkina","F","SBD","Raw",29.5,"24-34","Open",58,"63",45,50,-52.5,NA,50,30,32.5,35,NA,35,60,65,70,NA,70,155,"7",177.43,177.43,156.84,265.52,"Yes","","FPR","2015-05-30","Russia","","Novosibirsk Classic Powerlifting & Bench Press Championship",950328,3
"野間口 志保","F","SBD","Single-ply",42,"40-44","Open",65.95,"72",170,182.5,-190,NA,182.5,-80,82.5,90,NA,90,155,167.5,180,NA,180,452.5,"1",469.67,479.07,414.47,592.67,"Yes","","JPA","2016-05-27","Japan","","Japanese Powerlifting Championships",52641,3
"Karl-Heinz May","M","SBD","Single-ply",65.5,"65-69","Masters 3",126.6,"120+",125,150,-170,NA,150,-180,180,200,NA,200,175,190,-200,NA,190,540,"1",306.94,454.27,292.18,372.82,"Yes","Germany","BVDK","2019-03-09","Germany","","Deutsche Meisterschaft Kraftdreikampf Equipped",8976,3
"Jennifer Jeffery","F","SBD","Raw",58.5,"55-59","Masters 2",72.2,"84",-45,50,55,NA,55,-45,47.5,50,NA,50,95,100,112.5,NA,112.5,217.5,"1",211.9,273.56,186.63,352.23,"Yes","","NZPF","2015-11-07","New Zealand","AKL","Auckland 3-Lift Powerlifting Club Competition",928253,3
"Pertti Lähteenmäki","M","SBD","Single-ply",50.5,"50-54","Masters 2",124.9,"125",210,237.5,NA,NA,237.5,150,165,-175,NA,165,230,240,-247.5,NA,240,642.5,"4",366.18,413.79,348.81,436.59,"Yes","Finland","EPF","2010-06-22","Czechia","","European Masters Powerlifting Championships",775031,4
"Robert O'Brien","M","SBD","Raw",29.5,"24-34","MR-O",72.6,"74",155,175,185,NA,185,97.5,105,-110,NA,105,190,-215,215,NA,215,505,"2",368.28,368.28,356.51,539.01,"Yes","","USAPL","2015-12-12","USA","OH","Future Winter Meltdown",717251,3
"Sverre Paulsen","M","SBD","Single-ply",60.5,"60-64","Masters 60-69",65.85,"66",80,95,-102.5,NA,95,65,75,-77.5,NA,75,100,-125.5,-125.5,NA,100,270,"1",212.4,284.62,206.19,299.96,"Yes","","NSF","2014-11-21","Norway","","NM ungdom junior og veteran",585213,3
"Jani Soininen","M","SBD","Wraps",34,"24-34","O-110",107.2,"110",270,290,305,NA,305,160,167.5,-175,NA,167.5,275,-295,295,NA,295,767.5,"3",455.39,455.39,436.66,670.13,"","Finland","FPO","2018-12-02","Finland","","Tatu Avola Memorial",1381495,3
"Conor Gelston","M","SBD","Raw",28.5,"24-34","M-C-Open",73.1,"74",150,157.5,162.5,NA,162.5,100,105,-107.5,NA,105,190,200,-210,NA,200,467.5,"3",339.24,339.24,328.34,490.09,"Yes","","NIPF","2017-06-24","N.Ireland","","Open Raw Power",1251495,3
"Evgeniy Gasov","M","SBD","Single-ply",21.5,"20-23","Open",74.5,"75",210,-220,-225,NA,210,150,157.5,162.5,NA,162.5,200,215,-222.5,NA,215,587.5,"10",420.59,424.8,406.9,531.46,"Yes","","FPR","1997-10-02","Russia","","Russian Powerlifting Cup",964089,3
"Ben Croft","M","SBD","Raw",34,"24-34","M-C-Open",85.4,"93",215,-232.5,-232.5,NA,215,140,-145,-145,NA,140,240,260,-272.5,NA,260,615,"1",403.81,403.81,389.57,601.72,"Yes","England","EPA","2016-02-06","England","","North East Counties",238450,3
"Marek Makarewicz","M","SBD","Wraps",38.5,"35-39","Open",130.5,"140",250,270,-285,NA,270,210,220,-225,NA,220,-280,280,-297.5,NA,280,770,"3",435.21,435.21,413.68,602,"","Poland","WUAP","2018-06-13","Poland","","European Championships",646753,3
"Vanessa Murby","F","SBD","Single-ply",24.5,"24-34","O",82,"82.5",126,132.5,137.5,NA,137.5,-60,60,66,NA,66,150,161,166,NA,166,369.5,"1",333.6,333.6,292.13,465.87,"Yes","Japan","IBSA","2010-10-18","Turkey","","World Powerlifting Championships",1199735,3
"Kylie Hepi","F","SBD","Raw",38,"35-39","Open",111,"84+",130,-140,150,NA,150,80,85,90,NA,90,160,175,190,NA,190,430,"2",348.96,348.96,296.92,590.63,"Yes","","NZPF","2018-11-17","New Zealand","HKB","HB Champs & Club Lift",929370,3
"藤浪 瑠麗","F","SBD","Raw",19,"18-19","Juniors",53.6,"57",65,70,80,NA,80,40,-45,-45,NA,40,90,100,-115,NA,100,220,"2",267.88,278.6,237.21,400.78,"Yes","","JPA","2013-09-13","Japan","","Japanese Classic Powerlifting Championships",47064,3
"William Crawford Jr","M","SBD","Raw",15.5,"16-17","MR-T1",78.3,"83",80,85,-92.5,NA,85,50,52.5,-57.5,NA,52.5,115,125,-137.5,NA,125,262.5,"1",181.69,205.31,175.59,224.12,"Yes","","USAPL","2018-01-27","USA","NH","Arkitect Open",671705,3
"Molly Chapman","F","SBD","Raw",21.5,"20-23","F-C-U23",57,"57",75,80,-82.5,NA,80,40,45,47.5,NA,47.5,100,112.5,-115,NA,112.5,240,"2",278.49,281.28,246.26,428.1,"Yes","","BP","2014-09-20","UK","","British Women's Classic Championships",1386854,3
"Michael Randall","M","SBD","Multi-ply",28,"24-34","O",88.5,"90",265,-280,282.5,NA,282.5,230,245,257.5,NA,257.5,-230,240,-255,NA,240,780,"2",502.3,502.3,484.23,618.84,"","","APF","2014-03-15","USA","IL","IL State Meet",624012,3
"Kirt Studevant","M","SBD","Raw",39,"35-39","M-O",133.7,"125+",250,272.5,-280,NA,272.5,165,185,195,NA,195,222.5,272.5,-320,NA,272.5,740,"3",416.52,416.52,395.45,567.76,"Yes","","USAPL","2009-07-24","USA","VA","Raw Nationals",186971,3
"Shervin Sadr","M","SBD","Raw",19.5,"20-23","MR-TJ",62.05,"66",145,157.5,-162.5,NA,157.5,-115,115,-120,NA,115,145,157.5,170,NA,170,442.5,"1",366.2,377.18,356.28,524.6,"Yes","","USAPL","2019-02-16","USA","MA","Winter Classic and Northeast Collegiate Regional",730049,3
"Jaroslav Hodík","M","SBD","Single-ply",57.5,"55-59","Masters 2",85.18,"93",-180,180,-190,NA,180,-135,-135,-135,NA,NA,200,220,-230,NA,220,NA,"DQ",NA,NA,NA,NA,"Yes","Czechia","EPF","2016-07-12","Czechia","","European Masters Powerlifting Championships",781052,9
"Paul Cassar","M","SBD","Wraps",34,"24-34","MR-O",114.65,"125",260,280,292.5,NA,292.5,180,192.5,202.5,NA,202.5,270,292.5,-305,NA,292.5,787.5,"1",457.95,457.95,437.94,663.52,"","","WRPF-AUS","2017-04-29","Australia","NSW","NSW State Titles",811473,3
"David Summers","M","SBD","Raw",54,"50-54","M_MR_3_APF",88,"90",175,185,187.5,NA,187.5,140,147.5,-157.5,NA,147.5,190,200,210,NA,210,545,"1",352.02,423.83,339.39,512.95,"","USA","APF","2016-05-06","USA","IL","Raw Nationals",622741,3
"Markéta Kovrzková","F","SBD","Single-ply",16.5,"16-17","Sub-Juniors",58.7,"60",125,-130,-135,NA,125,70,-75,-77.5,NA,70,125,132.5,137.5,NA,137.5,332.5,"5",377.07,407.23,333.26,484.77,"Yes","Czechia","IPF","2010-09-27","Czechia","","World Sub-Juniors & Juniors Powerlifting Championships",1046911,3
"Artem Reshetnikov","M","SBD","Wraps",25,"24-34","Amateur Open",105.7,"110",250,260,-270,NA,260,155,165,175,NA,175,255,265,-282.5,NA,265,700,"2",417.32,417.32,400.36,608.86,"Yes","Russia","WRPF","2015-05-03","Russia","","Russian Open Championship",807260,3
"Brandon Anderson","M","SBD","Raw",27,"24-34","M_OR_AAPF",54.3,"56",130,140,145,NA,145,-85,95,-102.5,NA,95,160,170,-177.5,NA,170,410,"1",384.83,384.83,377.01,540.93,"Yes","USA","APF","2016-03-11","USA","MI","Michigan State Meet",626509,3
"Josephine Bark","F","SBD","Single-ply",24.5,"24-34","Open",83.2,"84",-220,-220,-220,NA,NA,-135,135,-142.5,NA,135,190,-195,-200,NA,190,NA,"DQ",NA,NA,NA,NA,"Yes","Sweden","EPF","2013-05-07","Czechia","","European Open Powerlifting Championships",769919,9
"Michelle Vice","F","SBD","Raw",15.5,"16-17","FR-O",98.6,"84+",77.5,87.5,97.5,NA,97.5,52.5,60,65,NA,65,102.5,117.5,125,NA,125,287.5,"2",240.38,271.63,206.87,417.67,"Yes","","USAPL","2018-07-15","USA","LA","Summer Classic",665952,3
"Christopher Sherfinski","M","SBD","Raw",17.5,"18-19","MR-T3",81.5,"83",-175,192.5,205,NA,205,97.5,102.5,-107.5,NA,102.5,192.5,-227.5,230,NA,230,537.5,"2",362.74,384.51,350.28,532.32,"Yes","","USAPL","2018-09-09","USA","WI","Stars and Stripes Open",759389,3
"Volodymyr Narolskyy","M","SBD","Single-ply",24.5,"24-34","Open",74.7,"75",230,250,-260,NA,250,180,190,-195,NA,190,235,-245,NA,NA,235,675,"2",482.33,482.33,466.6,600.4,"Yes","","UkrainePF","2002-10-18","Ukraine","","Ukrainian Powerlifting Cup",25621,4
"Bronwyn Marshall","F","SBD","Raw",16.5,"16-17","Sub-Juniors",68.82,"72",85,92.5,100,NA,100,40,45,-47.5,NA,45,107.5,-115,115,NA,115,260,"8",261.74,282.68,230.8,429.95,"Yes","South Africa","IPF","2015-06-05","Finland","","World Classic Powerlifting Championships",1027932,3
"Travis van den Berg","M","SBD","Wraps",31,"24-34","M-OR",81.5,"82.5",150,170,-175,NA,170,100,110,-112.5,NA,110,200,210,-220,NA,210,490,"23",330.69,330.69,319.32,477.78,"","","GPC-AUS","2015-05-19","Australia","","Nationals",385,3
"Ernie Gilbert","M","SBD","Single-ply",40,"40-44","Masters 40-44",110,"110",262.5,282.5,-292.5,NA,282.5,145,150,155,NA,155,262.5,287.5,-300,NA,287.5,725,"2",426.66,426.66,408.71,516.58,"","","USPF","1987-05-16","USA","TX","Masters Nationals",149260,3
"Sebastian Rodriguez","M","SBD","Single-ply",14.5,"13-15","Sub-Juniors",117.8,"120",-180,180,-195,NA,180,75,82.5,90,NA,90,145,-157.5,-157.5,NA,145,415,"1",239.65,282.79,228.91,308.34,"Yes","Ecuador","FESUPO","2014-07-30","Ecuador","","Campeonato Sudamericano de Powerlifting",1350339,3
"Luis Benvenuto","M","SBD","Single-ply",24.5,"24-34","Open",80.6,"82.5",220,230,-240,NA,230,150,160,-170,NA,160,230,245,-255,NA,245,635,"5",431.49,431.49,416.76,542.89,"Yes","Peru","FESUPO","2005-09-08","Argentina","","Campeonato Sudamericano de Powerlifting",1351854,3
"Douane Hamilton","M","SBD","Raw",29.5,"24-34","Open",80.57,"83",-205,205,-215,NA,205,155,162.5,-167.5,NA,162.5,285,-297.5,-297.5,NA,285,652.5,"1",443.48,443.48,428.34,669.64,"Yes","Trinidad and Tobago","CommonwealthPF","2015-12-01","Canada","BC","Commonwealth Championships",638508,3
"Richard Piper","M","SBD","Raw",38.5,"35-39","M-C-Open",73.3,"74",145,155,-165,NA,155,-90,-97.5,-97.5,NA,NA,160,170,-180,NA,170,NA,"DQ",NA,NA,NA,NA,"Yes","","EPA","2018-06-30","England","","South Midlands Divisional - Bitesize 9",236437,9
"Jörgen Ljungberg","M","SBD","Single-ply",36.5,"35-39","Open",123.5,"125",360,390,410,NA,410,240,252.5,260,NA,260,330,360,-375,NA,360,1030,"1",588.41,588.41,560.79,672.51,"Yes","Sweden","NordicPF","2004-09-11","Denmark","","Nordic Powerlifting Championships",793652,3
"Michael Hughes","M","SBD","Single-ply",40.5,"40-44","M1",85.4,"90",200,220,230,NA,230,100,NA,NA,NA,100,200,NA,NA,NA,200,530,"2",347.99,347.99,335.72,447.82,"","UK","WPF","2008-11-13","Austria","","World Championships",46159,7
"Kristián Slíž","M","SBD","Single-ply",22.5,"20-23","Juniors",91.43,"93",-280,280,305,NA,305,190,197.5,202.5,NA,202.5,270,285,297.5,NA,297.5,805,"2",509.87,509.87,491.17,625.38,"Yes","Slovakia","EPF","2018-05-06","Czechia","","European Men's Championships",773334,3
"Elisa Gregori","F","SBD","Single-ply",29.5,"24-34","Open",56.21,"57",130,137.5,142.5,NA,142.5,60,62.5,65,NA,65,107.5,115,120,NA,120,327.5,"5",384.21,384.21,339.82,487.51,"Yes","Italy","EPF","2014-09-11","Italy","","Western European Powerlifting Championships",775973,3
"Robert Scanlan","M","SBD","Raw",44.5,"40-44","MR-O",82,"83",107.5,112.5,117.5,NA,117.5,70,75,80,NA,80,140,147.5,155,NA,155,352.5,"6",237.01,247.2,228.84,318.41,"Yes","","USAPL","2018-02-24","USA","PA","Give Me Liberty or Give Me No Lift",672337,3
"Tirza Carey","F","SBD","Wraps",34,"24-34","FO C",59.8,"60",87.5,-95,-97.5,NA,87.5,57.5,-60,60,NA,60,107.5,115,-120,NA,115,262.5,"4",293.42,293.42,259.26,460.61,"","","IrishPO","2017-07-05","Ireland","","Battle of the Barbelles",1256543,3
"Paulo Santos #1","M","SBD","Multi-ply",29,"24-34","MO-MP",99.2,"100",355,375,-390,NA,375,245,257.5,265,NA,265,320,345,360,NA,360,1000,"1",610.57,610.57,586.94,730.09,"","Portugal","WPC","2017-04-15","Ireland","","Irish Pro Invitational 2",631945,3
"Ankhbayar Damdin","M","SBD","Raw",36,"35-39","Open",141.68,"120+",265,277.5,290,NA,290,200,-212.5,-212.5,NA,200,220,NA,NA,NA,220,710,"16",396.05,396.05,375.02,524.77,"Yes","Mongolia","IPF","2016-06-19","USA","TX","World Classic Powerlifting Championships",1053572,5
"Frank Seidel","M","SBD","Single-ply",28.5,"24-34","Open",99.2,"100",235,250,260,NA,260,-180,-180,180,NA,180,245,-260,-260,NA,245,685,"8",418.24,418.24,402.05,517.52,"Yes","","BVDK","2006-03-31","Germany","","DM KDK Aktive",12395,3
"Diego Moscoso","M","SBD","Raw",18.5,"18-19","MR-V",71.7,"74",90,-102.5,102.5,NA,102.5,70,-75,77.5,NA,77.5,82.5,92.5,-107.5,NA,92.5,272.5,"3",200.55,208.58,194.2,254.55,"Yes","","USAPL","2018-02-11","USA","MA","5th Annual High School Elite Cup",751305,3
"Jan Bast","M","SBD","Single-ply",35.5,"35-39","Heavy",91.99,"105",315,-325,-325,NA,315,257.5,265,270,NA,270,285,295,300,NA,300,885,"6",558.87,558.87,538.3,679.58,"Yes","Germany","IPF","2013-07-30","Colombia","","World Games",1024070,3
"Ruben Villegas","M","SBD","Raw",17.5,"18-19","MR-T2",70.3,"74",155,160,175,NA,175,87.5,95,-97.5,NA,95,152.5,162.5,-170,NA,162.5,432.5,"3",323.06,342.44,312.99,460.97,"Yes","","USAPL","2016-04-09","USA","TX","Texas State Championships",759851,3
"Wing-Yuk Ip","F","SBD","Single-ply",48.5,"45-49","Masters 1",59.51,"60",105,115,120,NA,120,70,72.5,75,NA,75,120,125,132.5,NA,132.5,327.5,"3",367.46,403.1,324.7,476.45,"Yes","Hong Kong","IPF","2010-09-27","Czechia","","World Masters Championships",1057507,3
"Jimmy Scott","M","SBD","Raw",47.5,"45-49","MR-O",96.4,"105",170,197.5,205,NA,205,-160,160,NA,NA,160,-242.5,242.5,280,NA,280,645,"4",398.61,431.29,383.49,586.93,"Yes","","USAPL","2016-04-30","USA","AK","32nd Alaska State Championship",717670,4
"Leonid Lodkin","M","SBD","Single-ply",59,"55-59","Masters 2",90,"90",-200,-205,205,NA,205,-130,135,137.5,NA,137.5,200,210,217.5,NA,217.5,560,"1",357.5,470.11,344.51,456.29,"Yes","Ukraine","UkrainePF","1994-04-21","Ukraine","","Ukrainian Masters Powerlifting Championships",39265,3
"Markus Köberle","M","SBD","Raw",24.5,"24-34","Open",73.69,"74",210,220,-225,NA,220,140,145,-147.5,NA,145,237.5,262.5,-270,NA,262.5,627.5,"12",452.72,452.72,438.1,682.83,"Yes","Germany","IPF","2018-06-06","Canada","","6th World Classic Championships",1037790,3
"Jeffrey Hilton","M","SBD","Single-ply",26.5,"24-34","M-G",73.3,"74",-215,215,-230,NA,215,132.5,-140,-140,NA,132.5,200,210,-217.5,NA,210,557.5,"G",403.75,403.75,390.76,512.64,"Yes","","USAPL","2017-05-06","USA","RI","Massachusetts and Rhode Island State Championships",733583,3
"Petri Heikkinen","M","SBD","Single-ply",42.5,"40-44","Over 40",92.88,"93",275,290,-297.5,NA,290,187.5,195,200,NA,200,260,288.5,-290,NA,288.5,778.5,"1",489.35,499.13,471.23,601.46,"Yes","Finland","SVNL","2016-02-05","Finland","","Voimanoston SM-kisat - kaikki ikäluokat",1015396,3
"Alan Fong","M","SBD","Raw",20.5,"20-23","MR-Jr",73.3,"74",165,175,-185,NA,175,115,120,125,NA,125,170,180,192.5,NA,192.5,492.5,"2",356.67,363.81,345.2,519.76,"Yes","","USAPL","2016-12-04","USA","CA","California Winter Classic",738275,3
"Yi-Ching Hsieh","M","SBD","Single-ply",21.5,"20-23","Open",74.25,"75",270,282.5,-297.5,NA,282.5,145,150,-152.5,NA,150,-250,250,275,NA,275,707.5,"6",507.7,512.78,491.22,628.7,"Yes","Taiwan","IPF","1993-11-27","Sweden","","World Powerlifting Championships",106904,3
"Ralf A. Male","M","SBD","Single-ply",15.5,"16-17","Teen 14-18",90,"90",125,155,-165,NA,155,190,-200,-200,NA,190,170,180,195,NA,195,540,"3",344.73,389.55,332.21,442.04,"Yes","Norway","NSF","2009-11-13","Norway","","NM Ungdom Junior og Veteran",578490,3
"Bill Schemel","M","SBD","Single-ply",57.5,"55-59","M-M2b",105.7,"120",215,-230,-230,NA,215,125,-182.5,-182.5,NA,125,215,227.5,232.5,NA,232.5,572.5,"1",341.31,432.78,327.44,427.52,"Yes","","USAPL","2017-01-22","USA","NJ","Garden State Winter War",722013,3
"Emma Winwood","F","SBD","Wraps",26,"24-34","F-OR",59.5,"60",-80,80,-95,NA,80,45,47.5,50,NA,50,107.5,-115,120,NA,120,250,"8",280.54,280.54,247.9,438.6,"","","GPC-AUS","2018-04-07","Australia","VIC","VIC State Titles",4093,3
"Arsenij Filippov","M","SBD","Wraps",21,"20-23","Open",82,"82.5",200,220,230,NA,230,-130,130,140,NA,140,220,240,265,NA,265,635,"1",426.95,435.49,412.23,641.55,"","","WPC-RUS","2010-08-17","Russia","","Eurasian Championships",1215881,3
"Elena Yurik","F","SBD","Single-ply",22.5,"20-23","Open",77.7,"82.5",190,200,210,NA,210,110,120,130,NA,130,190,200,210,NA,210,550,"1",511.73,511.73,449.46,653.31,"Yes","Russia","FPR","2000-03-22","Russia","","Russian Juniors Powerlifting Championships",970118,3
"Matej Pavlák","M","SBD","Wraps",19,"18-19","T3",66.65,"67.5",-160,-160,160,NA,160,90,-95,95,NA,95,-200,200,-210,NA,200,455,"1",354.41,368.59,343.92,510.66,"","Slovakia","GPC","2017-09-14","Czechia","","World Championships",1231083,3
"Oswald Stadler","M","SBD","Multi-ply",34.5,"24-34","O",99,"100",280,305,315,NA,315,170,-177.5,177.5,NA,177.5,-255,-255,255,NA,255,747.5,"8",456.77,456.77,439.12,560.29,"","Austria","GPC","2003-12-05","Austria","","World Championships",1234776,3
"Vladimir Rudenko","M","SBD","Single-ply",18.5,"18-19","Juniors",89.8,"90",307.5,320,-325,NA,320,185,192.5,-197.5,NA,192.5,290,-302.5,-302.5,NA,290,802.5,"3",512.89,533.41,494.29,629.87,"Yes","Russia","EPF","2000-06-15","Bulgaria","","European Junior Powerlifting Championships",792077,3
"Jared Weers","M","SBD","Single-ply",31.5,"24-34","M-O",98.6,"105",230,-240,-240,NA,230,137.5,-145,NA,NA,137.5,225,235,242.5,NA,242.5,610,"1",373.37,373.37,358.99,468.39,"Yes","","USAPL","2019-01-26","USA","NE","12th Annual Capital City Clash",729520,4
"Gorm Rasmussen","M","SBD","Single-ply",26.5,"24-34","Open",113.8,"120",-270,277.5,282.5,NA,282.5,150,155,160,NA,160,240,250,255,NA,255,697.5,"3",406.44,406.44,388.8,490.77,"Yes","","DSF","2017-09-02","Denmark","","JM Styrkeløft",546791,3
